0,0,0
127,127,127
255,0,0
0,255,0
0,0,255
0,255,255
255,0,255
255,127,0
254,218,255
134,13,81
0,92,0
14,167,255
255,238,148
144,156,0
119,66,0
0,182,137
162,114,255
224,133,157
0,95,94
143,0,189
225,0,116
167,196,216
164,0,5
197,169,123
149,238,173
154,92,136
186,95,63
2,146,159
227,152,251
106,112,52
194,213,0
0,146,46
92,64,96
161,150,189
50,198,64
254,183,2
183,124,0
255,188,182
0,197,207
196,0,173
207,255,247
128,70,72
65,129,102
130,158,114
196,29,255
254,106,89
154,176,255
255,82,181
147,194,174
169,197,117
64,81,45
197,108,199
255,255,0
119,158,186
154,122,84
255,169,219
178,57,75
192,255,124
0,224,188
127,114,149
202,188,236
255,168,107
172,117,123
212,135,105
110,158,150
95,202,255
148,89,183
119,32,118
222,255,205
196,165,50
201,52,0
201,91,134
0,101,64
140,98,0
255,44,88
126,43,22
0,238,118
161,234,255
200,158,189
237,204,157
76,116,122
71,115,0
169,51,116
95,81,0
211,223,255
106,203,133
185,154,255
237,86,0
127,91,61
255,117,234
161,69,0
99,166,74
215,0,49
168,127,162
155,144,69
220,205,93
140,190,0
255,150,139
141,1,42
134,255,223
