228,26,28
55,126,184
77,175,74
152,78,163
255,127,0
255,255,51
166,86,40
247,129,191
153,153,153
0,47,0
61,0,9
0,255,255
80,0,204
0,112,89
180,153,255
255,210,164
150,1,71
114,255,154
102,106,0
249,213,255
99,193,254
199,176,2
0,178,165
82,51,0
99,0,106
242,3,255
132,83,255
231,0,131
84,82,117
207,135,120
169,199,152
199,232,255
127,28,0
130,80,94
156,140,78
139,216,0
133,125,168
226,255,204
0,79,255
0,92,9
0,94,116
100,143,111
255,92,112
187,100,138
190,154,192
124,0,187
19,134,0
255,180,192
108,149,255
93,40,61
18,224,179
234,135,255
188,92,254
146,192,199
6,136,145
178,0,140
221,165,93
114,87,46
181,187,226
221,220,117
182,63,76
116,152,175
173,236,218
31,75,52
128,145,0
193,118,0
221,98,55
71,78,23
109,64,112
37,83,152
196,106,195
0,219,97
176,0,5
96,101,177
255,59,196
2,1,238
0,212,233
82,109,70
110,58,43
108,0,30
180,255,94
106,181,138
255,191,53
170,0,235
163,108,102
152,174,86
0,255,58
0,162,219
255,171,238
145,102,0
142,0,151
255,160,128
84,25,0
218,180,253
196,3,203
83,111,255
0,136,78
145,106,139
82,108,132
160,221,119
114,78,157
126,32,97
146,155,208
46,44,0
208,219,0
130,65,0
120,2,243
142,126,226
247,0,85
1,148,124
162,65,110
255,138,152
94,133,59
205,65,164
130,180,1
142,49,53
171,131,203
178,143,0
205,135,161
207,100,104
193,60,0
146,96,200
122,115,62
77,177,197
178,122,77
233,91,149
102,153,149
209,194,136
192,0,92
145,226,237
144,226,171
80,71,156
0,87,83
255,67,0
255,255,157
0,196,0
255,122,94
0,166,106
89,0,64
105,255,208
150,181,255
220,132,72
58,110,113
222,145,0
90,76,231
164,208,254
133,204,182
110,132,196
255,108,231
137,83,65
0,138,247
115,100,138
191,253,160
140,177,211
62,111,32
217,214,255
156,55,20
121,196,113
177,167,112
255,220,37
136,157,110
172,198,61
36,68,0
99,41,129
0,204,133
206,0,58
35,98,56
176,125,167
226,162,196
21,207,195
60,29,0
79,154,0
14,117,148
216,136,205
145,104,62
82,40,34
207,20,255
141,126,24
207,222,167
215,67,106
179,255,204
102,84,0
53,63,200
48,103,193
145,57,129
146,0,26
231,180,144
75,126,111
196,92,0
124,53,77
223,160,159
203,253,255
193,149,108
92,131,146
218,98,247
116,2,63
229,75,73
199,130,251
135,60,209
255,188,111
