255,0,0
0,255,0
0,0,255
255,0,255
255,127,0
0,81,0
126,208,255
101,43,72
128,159,112
255,196,221
130,118,172
255,235,130
137,83,0
0,112,115
0,255,209
200,110,132
157,0,184
156,0,12
196,173,255
0,141,0
0,175,171
172,191,0
182,0,108
214,174,129
82,151,255
177,135,1
0,207,111
177,215,173
91,107,63
202,251,255
255,11,114
185,83,255
227,140,213
138,85,84
198,91,46
217,255,0
132,159,184
92,55,30
243,178,1
1,141,99
255,141,126
26,77,61
115,77,126
187,88,176
208,218,255
162,255,145
159,120,82
3,144,180
131,210,205
76,71,0
126,151,0
153,133,255
105,19,122
199,48,67
255,84,185
173,148,188
136,0,58
46,180,0
215,155,171
149,106,136
126,113,0
229,255,202
243,89,87
89,138,137
176,185,109
129,48,0
140,43,118
0,248,255
101,187,151
5,107,60
0,178,235
222,0,167
211,134,83
147,178,253
243,183,255
65,107,0
255,212,164
210,132,255
144,84,184
232,215,15
57,167,89
126,220,78
169,77,113
202,0,231
178,254,218
255,131,171
94,136,64
125,51,52
189,45,0
195,222,116
5,246,149
253,181,167
255,167,84
104,128,154
177,104,0
125,183,80
172,152,95
0,203,224
244,86,0
170,117,197
