255,255,255
57,0,0
0,91,255
0,138,0
245,0,185
240,130,0
159,255,0
6,185,193
108,0,135
188,160,255
0,86,86
182,0,20
110,77,0
142,105,125
255,165,187
161,182,123
5,255,190
184,29,255
20,52,0
255,208,37
255,79,94
93,125,154
173,216,255
121,4,62
99,127,100
6,202,57
74,0,193
156,129,0
221,255,175
73,169,255
175,96,57
255,128,251
84,77,111
255,209,166
89,53,48
164,44,139
242,208,255
128,113,221
192,149,127
0,245,255
0,172,121
177,219,204
11,99,47
153,165,189
190,142,184
118,25,0
0,88,140
172,196,0
207,0,99
0,139,134
130,0,253
152,65,78
206,99,140
134,84,161
96,109,2
223,64,0
62,43,0
118,161,46
205,166,54
130,168,157
112,60,97
141,226,131
194,91,192
255,138,109
129,107,72
252,255,0
69,77,43
0,0,254
140,128,167
82,207,174
84,83,175
56,206,255
0,133,216
201,112,255
255,119,188
146,143,94
145,63,0
214,210,126
255,173,91
249,31,255
0,135,80
200,71,74
0,152,184
180,255,255
152,0,184
72,96,111
190,130,61
156,182,253
143,195,205
94,0,80
207,117,108
121,144,204
0,255,99
196,178,212
255,29,131
121,81,74
46,111,93
101,48,164
151,97,0
79,0,32
177,255,208
237,168,226
201,234,93
99,49,3
162,0,60
104,191,116
162,118,107
206,183,141
255,205,221
110,157,105
236,0,47
0,117,140
1,169,66
255,102,41
61,85,0
106,103,148
81,33,255
242,173,151
221,226,255
107,172,205
0,72,41
159,111,200
208,100,0
105,140,143
117,221,0
211,143,158
192,1,199
133,3,107
93,131,255
119,44,48
255,243,121
166,82,124
255,245,196
93,104,60
247,121,140
89,135,57
0,223,141
186,222,169
147,143,255
120,237,216
167,163,0
63,107,171
100,86,255
202,55,143
40,66,165
200,198,255
181,62,22
87,28,17
210,146,232
115,87,120
165,113,163
95,37,62
38,109,0
146,196,162
152,74,254
63,165,151
97,72,43
95,56,114
108,0,24
175,95,101
168,152,202
150,45,33
172,0,104
124,121,53
219,121,200
52,86,70
250,174,0
223,149,95
172,128,145
75,213,212
221,180,255
216,172,193
195,227,237
131,57,135
185,157,97
134,227,176
255,86,216
120,82,192
131,83,42
171,203,102
180,193,218
159,255,121
119,186,1
58,61,0
76,117,120
0,76,5
166,116,254
71,145,116
141,49,95
255,205,113
143,225,243
121,133,0
213,188,0
147,38,218
225,255,221
223,94,68
161,82,156
210,65,246
132,79,99
118,148,172
