228,26,28
55,126,184
77,175,74
152,78,163
255,127,0
255,255,51
166,86,40
247,129,191
153,153,153
0,255,255
47,91,65
180,153,255
255,210,164
149,0,70
114,255,154
249,213,255
99,193,254
116,113,0
199,176,2
0,149,135
230,0,131
242,3,255
125,199,172
207,135,120
199,232,255
108,65,88
100,75,35
139,216,0
171,89,113
0,112,0
225,255,204
157,17,0
162,146,86
175,133,177
255,92,112
175,86,255
184,201,137
97,130,93
134,153,193
255,180,192
239,159,255
139,1,125
0,187,197
189,189,228
255,179,68
192,119,0
126,57,45
205,88,173
138,152,0
176,240,223
0,110,109
221,98,55
151,193,206
0,214,129
73,87,16
135,109,64
240,222,112
192,42,75
130,167,123
210,171,125
97,136,150
0,244,195
189,0,150
0,143,68
206,116,230
190,242,111
32,177,129
212,167,202
255,154,109
191,0,232
0,255,60
139,3,178
133,109,147
64,162,204
114,165,160
121,225,255
255,0,197
150,187,75
201,121,150
165,111,96
146,173,255
85,135,0
4,122,88
251,139,150
0,201,3
214,214,0
255,107,240
156,125,205
147,58,106
247,0,86
130,66,0
114,58,123
160,226,171
208,155,57
188,55,0
47,218,207
254,80,158
207,87,93
137,85,84
157,129,7
132,219,112
165,255,0
125,90,0
65,111,55
171,157,203
255,67,0
166,207,255
135,89,118
218,133,71
110,149,73
163,68,63
254,200,0
255,180,236
214,188,97
99,102,55
167,103,151
184,2,103
210,178,255
255,118,91
255,241,175
210,84,133
0,151,167
217,156,166
0,159,0
211,2,202
170,0,177
127,196,133
92,152,124
217,139,208
172,122,69
74,125,116
237,255,149
244,180,155
128,129,65
192,0,28
160,99,2
172,99,201
144,33,43
172,173,96
13,191,169
123,167,187
138,132,171
113,179,0
131,85,52
162,246,255
145,255,202
197,94,0
0,205,241
187,210,94
177,72,137
152,180,217
186,254,170
128,50,71
153,58,19
198,149,228
0,226,82
79,110,0
146,218,217
0,97,40
212,229,157
255,60,64
207,70,255
188,145,106
173,155,38
103,166,234
14,214,168
187,123,253
224,115,123
211,217,255
147,147,222
242,94,194
195,114,80
160,51,80
175,196,0
74,159,97
0,146,104
242,150,0
167,114,132
217,189,231
192,80,55
156,0,106
95,126,53
242,159,196
218,38,164
255,148,230
220,205,147
112,190,187
26,130,136
208,83,212
119,255,231
151,54,138
156,52,200
139,255,107
100,198,77
96,79,0
189,112,187
245,185,122
219,68,0
39,91,85
255,105,36
