CAD
DHODH
UMPS
CMPK1
CMPK2
NME1
NME2
NME3
NME4
NME5
NME6
NME7
CTPS1
CTPS2
RRM1
RRM2
DUT
ENPP3
ENPP1
ITPA
TYMS
DTYMK
NTPCR
