BIRC2
BIRC3
CASP8
CD40
CFLAR
CHUK
CUL3
FADD
IKBKB
IKBKE
IKBKG
IL1A
IL1B
IL1R1
IL1R2
IL1RAP
IL1RN
IRAK1
IRAK3
IRAK4
IRF4
LTBR
MAP3K14
MAP3K7
MAVS
NFKB1
NFKB2
OTUB1
REL
RELA
RELB
RIPK1
RIPK2
RIPK4
TBK1
TLR10
TLR2
TNFAIP8L2
TNFRSF10A
TNFRSF10B
TNFRSF10C
TNFRSF10D
TNFRSF11B
TNFRSF12A
TNFRSF13B
TNFRSF13C
TNFRSF14
TNFRSF19
TNFRSF1A
TNFRSF1B
TNFRSF21
TNFRSF25
TNFRSF6B
TNFRSF9
TNFSF10
TRADD
TRAF2
TRAF3
TRAF6
UBC
XIAP
