DHCR24
PMVK
MSMO1
HMGCS1
ACAT1
IDI1
LBR
FDFT1
ACAT2
HMGCR
DHCR7
FDPS
LSS
SQLE
TM7SF2
NSDHL
CYP51A1
IDI2
EBP
SC5D
MVD
MVK
HMGCS2
HSD17B7
