ADORA2A
BTLA
CD27
CD274
CD276
CD28
CD3D
CD3E
CD3G
CD4
CD44
CD69
CD70
CD80
CD86
CD8A
CTLA4
CYBB
FUT4
GEM
GZMB
HAVCR2
ICOS
ICOSLG
IDO1
IL2RA
LAG3
LAMP1
LGALS9
PDCD1
PRF1
TNFRSF14
TNFRSF4
TNFRSF9
TNFSF4
TNFSF9
VTCN1
PDCD1LG2
CD40
CD40LG
TNFRSF18
TNFSF18
TIGIT
PVR
CD244
TNFSF14
CD160
NT5E
ENTPD1
KLRG1
