MTOR
RICTOR
RPTOR
RHEB
TSC2
TSC1
PPP2R1A
AKT3
AKT2
AKT1
STK11
INPP4B
PIK3R3
PIK3R2
PIK3R1
PTEN
PIK3CB
PIK3CA
