TNS2
SCN7A
SH3D19
ENO1
PGR
TOGARAM1
IL6ST
SNORD110
DYNC2H1
SNRPG
RAPGEF3
NFATC4
NBEA
CACNA1G
CFAP69
SENP7
RBPMS
NYNRIN
SENP6
ARHGAP6
SSC5D
KIAA0825
MYH7
TXN
UFD1
TDRD10
ZIC4
C1QL3
CCDC39
SNORD45A
IGFBP4
OLFML1
FAM161B
ANKHD1
FAT4
PLEKHH2
TMEM260
IGSF10
TTC17
OLIG1
BMERB1
CMYA5
RALGAPA1
TSHZ2
FER
SEMA6D
ATG14
PPIP5K2
ORC1
POLK
PPWD1
CDC6
SYNPO2
ZNF540
COL14A1
HTRA1
USB1
ABCA10
CCDC170
ANG
CIAPIN1
TTC28
NME5
SLC16A4
MON2
TRAPPC11
YARS1
CRY2
HMBOX1
ELF2
WDR19
CSAG1
ACOT7
IGF1
EHD2
TSHZ3
NKTR
GFAP
PARD3B
SNORD66
GAPDH
AFF1
MAGEA12
ANKRD42
SNORD91B
TUBB4A
DOCK3
GSTM2
IRF2
NUP93
PDS5B
STIL
PHB
TPI1
SNCAIP
DNAH7
TSHZ1
NKX2-5
GABRA3
DHRS12
