YAP1
WWTR1
TEAD2
STK4
STK3
SAV1
LATS1
LATS2
MOB1A
MOB1B
PTPN14
NF2
WWC1
TAOK1
TAOK2
TAOK3
CRB1
CRB2
CRB3
FAT1
FAT2
FAT3
FAT4
DCHS1
DCHS2
CSNK1E
CSNK1D
