SNORD114-6
PRICKLE2
GPRASP1
PWWP3B
FHL2
ADAM33
TMEM176A
GOLGA6L6
MFAP4
SCN7A
EHD2
IBSP
PGM5
ZFP36L2
PODN
MATN2
MRPS5
SSC5D
BORCS6
SNRPG
PSME3IP1
CACNA1G
ZIC4
C1QL3
FAM172A
PUS1
TXNDC15
PGAM1
ALG2
TUBB4B
SNORD14B
RNA5S9
TSHZ1
KCNJ10
TUBA1B
SNORD62B
TSPYL1
PSMB8
SLC35D1
TAP2
DAG1
H6PD
YRDC
SNORD3C
SNORD16
RASA1
SNORD83A
GOLGA6L22
TAP1
EFHD2
VMAC
SNORD66
WDR19
SENP7
ZNF280D
SH3D19
SNORD46
GTF2IP1
XPC
ZFP36L1
SYNGAP1
RPL10
PEX10
CSRNP2
SNORD35B
SNORD94
SNORD114-12
SNORD2
KLF16
JUND
ANAPC11
METTL21A
NNT-AS1
ERP44
CCPG1
SLC10A3
CENPB
SNORD18B
SNORD50B
SNORA17A
NEDD8-MDP1
MAPK1IP1L
SP2
FAM200A
ELK4
IKBKGP1
UBQLN2
SNORD117
SNORD104
CCNH
SNORD83B
EMC7
SDE2
CHAMP1
UBE2V1
PAIP2
PGR
IL6ST
OLIG1
NBEA
RABEPK
COL11A2
TMEM119
KRBOX4
SCARB1
TNS2
ENO1
TOGARAM1
SNORD110
DYNC2H1
NYNRIN
TTLL3
FAT4
RAPGEF3
CRY2
SNHG12
FOXL2
