OGDH
OGDHL
CS
ACO1
ACO2
IDH1
IDH2
IDH3A
IDH3B
IDH3G
SUCLA2
SUCLG1
SUCLG2
SDHA
SDHB
SDHC
SDHD
FH
MDH1
MDH1B
MDH2
